Dia_semana;Hora;Probabilidad_respuesta
Lunes;8;0.0085
Lunes;9;0.0102
Lunes;10;0.0105
Lunes;11;0.0114
Lunes;12;0.0099
Lunes;13;0.0107
Lunes;14;0.0099
Lunes;15;0.0106
Lunes;16;0.0105
Lunes;17;0.0109
Lunes;18;0.0099
Lunes;19;0.0106
Lunes;20;0.01
Lunes;21;0.0051
Martes;8;0.0091
Martes;9;0.011
Martes;10;0.0114
Martes;11;0.0123
Martes;12;0.0107
Martes;13;0.0115
Martes;14;0.0106
Martes;15;0.0114
Martes;16;0.0114
Martes;17;0.0118
Martes;18;0.0107
Martes;19;0.0114
Martes;20;0.0108
Martes;21;0.0056
Miercoles;8;0.0105
Miercoles;9;0.0126
Miercoles;10;0.013
Miercoles;11;0.0141
Miercoles;12;0.0122
Miercoles;13;0.0132
Miercoles;14;0.0122
Miercoles;15;0.0131
Miercoles;16;0.013
Miercoles;17;0.0135
Miercoles;18;0.0123
Miercoles;19;0.0131
Miercoles;20;0.0124
Miercoles;21;0.0064
Jueves;8;0.0109
Jueves;9;0.0132
Jueves;10;0.0136
Jueves;11;0.0147
Jueves;12;0.0127
Jueves;13;0.0138
Jueves;14;0.0127
Jueves;15;0.0136
Jueves;16;0.0136
Jueves;17;0.0141
Jueves;18;0.0128
Jueves;19;0.0137
Jueves;20;0.013
Jueves;21;0.0067
Viernes;8;0.0089
Viernes;9;0.0107
Viernes;10;0.0111
Viernes;11;0.012
Viernes;12;0.0104
Viernes;13;0.0112
Viernes;14;0.0104
Viernes;15;0.0111
Viernes;16;0.0111
Viernes;17;0.0115
Viernes;18;0.0105
Viernes;19;0.0111
Viernes;20;0.0105
Viernes;21;0.0054
Sabado;8;0.0075
Sabado;9;0.009
Sabado;10;0.0093
Sabado;11;0.01
Sabado;12;0.0087
Sabado;13;0.0094
Sabado;14;0.0087
Sabado;15;0.0093
Sabado;16;0.0093
Sabado;17;0.0096
Sabado;18;0.0088
Sabado;19;0.0093
Sabado;20;0.0088
Sabado;21;0.0045
Domingo;8;0.0057
Domingo;9;0.0068
Domingo;10;0.0071
Domingo;11;0.0076
Domingo;12;0.0066
Domingo;13;0.0072
Domingo;14;0.0066
Domingo;15;0.0071
Domingo;16;0.0071
Domingo;17;0.0073
Domingo;18;0.0067
Domingo;19;0.0071
Domingo;20;0.0067
Domingo;21;0.0035
